Report Date,County,Place of Fatality,Deaths by County of Residence
01/03/2022,Lewis,13,41
01/03/2022,Livingston,66,93
01/03/2022,Madison,106,117
01/03/2022,Manhattan,"5,286","3,229"
01/03/2022,Monroe,"1,571","1,356"
01/03/2022,Montgomery,149,177
01/03/2022,Nassau,"4,177","3,427"
01/03/2022,Niagara,309,477
01/03/2022,Non-NYS,0,391
01/03/2022,Oneida,732,707
01/03/2022,Onondaga,"1,077",891
01/03/2022,Ontario,198,146
01/03/2022,Orange,895,836
01/03/2022,Orleans,52,104
01/03/2022,Oswego,93,149
01/03/2022,Otsego,113,71
01/03/2022,Putnam,94,106
01/03/2022,Queens,"6,038","7,440"
01/03/2022,Rensselaer,179,217
01/03/2022,Richmond,"1,223","1,245"
01/03/2022,Rockland,774,810
01/03/2022,Saratoga,195,268
01/03/2022,Schenectady,257,269
01/03/2022,Schoharie,7,29
01/03/2022,Schuyler,5,23
01/03/2022,Seneca,33,81
01/03/2022,St. Lawrence,148,159
01/03/2022,Statewide Total,"48,798","48,798"
01/03/2022,Steuben,175,220
01/03/2022,Suffolk,"3,864","3,845"
01/03/2022,Sullivan,82,103
01/03/2022,Tioga,40,79
01/03/2022,Tompkins,77,72
01/03/2022,Ulster,178,314
01/03/2022,Warren,169,108
01/03/2022,Washington,36,92
01/03/2022,Wayne,74,131
01/03/2022,Westchester,"2,648","2,426"
01/03/2022,Wyoming,61,74
01/03/2022,Yates,24,36
01/04/2021,Albany,316,216
01/04/2021,Allegany,54,75
01/04/2021,Bronx,"3,261","3,571"
01/04/2021,Broome,235,215
01/04/2021,Cattaraugus,43,47
01/04/2021,Cayuga,23,31
01/04/2021,Chautauqua,30,27
01/04/2021,Chemung,123,99
01/04/2021,Chenango,16,24
01/04/2021,Clinton,10,8
01/04/2021,Columbia,58,61
01/04/2021,Cortland,39,39
01/04/2021,Delaware,4,12
01/04/2021,Dutchess,264,252
01/04/2021,Erie,"1,331","1,249"
01/04/2021,Essex,13,16
01/04/2021,Franklin,8,9
01/04/2021,Fulton,28,39
01/04/2021,Genesee,57,63
01/04/2021,Greene,13,30
01/04/2021,Hamilton,0,1
01/04/2021,Herkimer,14,30
01/04/2021,Jefferson,11,12
01/04/2021,Kings,"4,922","5,476"
01/04/2021,Lewis,6,17
01/04/2021,Livingston,15,28
01/04/2021,Madison,66,71
01/04/2021,Manhattan,"3,671","2,270"
01/04/2021,Monroe,692,615
01/04/2021,Montgomery,53,57
01/04/2021,Nassau,"2,974","2,431"
01/04/2021,Niagara,139,192
01/04/2021,Non-NYS,0,157
01/04/2021,Oneida,276,276
01/04/2021,Onondaga,496,454
01/04/2021,Ontario,82,69
01/04/2021,Orange,543,526
01/04/2021,Orleans,42,64
01/04/2021,Oswego,40,47
01/04/2021,Otsego,19,16
01/04/2021,Putnam,66,67
01/04/2021,Queens,"4,359","5,418"
01/04/2021,Rensselaer,75,87
01/04/2021,Richmond,902,904
01/04/2021,Rockland,556,597
01/04/2021,Saratoga,31,48
01/04/2021,Schenectady,90,95
01/04/2021,Schoharie,0,5
01/04/2021,Schuyler,4,10
01/04/2021,Seneca,27,41
01/04/2021,St. Lawrence,46,47
01/04/2021,Statewide Total,"30,802","30,802"
01/04/2021,Steuben,109,125
01/04/2021,Suffolk,"2,423","2,376"
01/04/2021,Sullivan,40,46
01/04/2021,Tioga,39,54
01/04/2021,Tompkins,19,16
